"","setname","pvalue","estimate","exp","BH"
"78","GO_MITOTIC_CELL_CYCLE",0.00119528273638769,0.576644467255107,"Down",0.048514000770607
"79","GO_MITOTIC_CYTOKINESIS",0.0437837782995931,2.3015646176935,"UP",0.453787272366419
"80","GO_MITOTIC_CYTOKINESIS",0.45985403414037,0.578985357579528,"Down",1
"81","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",1,0.966900839111733,"UP",1
"82","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0.754779888207708,0.603629269108444,"Down",1
"83","GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",1,0.604025939023869,"UP",1
"84","GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",1,0.604025939023869,"Down",1
"85","GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",1,0,"UP",1
"86","GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",0.313412583916227,4.83699410441435,"Down",1
"87","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",1,0.604025939023869,"UP",1
"88","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",1,0.604025939023869,"Down",1
"89","GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.621196280934916,1.1883236661735,"UP",1
"90","GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",1,0.96663264447519,"Down",1
"91","GO_RESPONSE_TO_OXYGEN_RADICAL",1,0.966967210565318,"UP",1
"92","GO_RESPONSE_TO_OXYGEN_RADICAL",1,0.966967210565318,"Down",1
"93","GO_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE",1,0,"UP",1
"94","GO_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE",1,0,"Down",1
"95","GO_PROTEIN_DENEDDYLATION",1,0,"UP",1
"96","GO_PROTEIN_DENEDDYLATION",1,0,"Down",1
"97","GO_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",1,0,"UP",1
"98","GO_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",1,0,"Down",1
"99","GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.242873114789749,0.658962043712691,"UP",0.964263533825092
"100","GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.00478721440715107,0.306508282513773,"Down",0.126075587630381
"101","GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.156622069613737,0.229502035753557,"UP",0.840812004513094
"102","GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0.407863362350004,0.482515946991484,"Down",1
"103","GO_SPLICEOSOMAL_SNRNP_ASSEMBLY",0.414498818558443,1.81534714137803,"UP",1
"104","GO_SPLICEOSOMAL_SNRNP_ASSEMBLY",0.229792371509405,0,"Down",0.940445368786747
"105","GO_MRNA_3_SPLICE_SITE_RECOGNITION",1,0,"UP",1
"106","GO_MRNA_3_SPLICE_SITE_RECOGNITION",1,0,"Down",1
"107","GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",1,0,"UP",1
"108","GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",1,0,"Down",1
"109","GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION",0.528664589866638,1.61211977828126,"UP",1
"110","GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION",1,0,"Down",1
"111","GO_MRNA_5_SPLICE_SITE_RECOGNITION",1,0,"UP",1
"112","GO_MRNA_5_SPLICE_SITE_RECOGNITION",1,0,"Down",1
"113","GO_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION",1,0.604025939023869,"UP",1
"114","GO_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION",1,0.604025939023869,"Down",1
"115","GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION",0.431120009954933,2.41844603810298,"UP",1
"116","GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION",1,0,"Down",1
"117","GO_AUTOPHAGY_OF_MITOCHONDRION",0.387650081337951,1.51337966675806,"UP",1
"118","GO_AUTOPHAGY_OF_MITOCHONDRION",0.560922288122556,0.508014022353744,"Down",1
"119","GO_MITOPHAGY",1,0.805667422919995,"UP",1
"120","GO_MITOPHAGY",1,0.805667422919995,"Down",1
"121","GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.431120009954933,2.41844603810298,"UP",1
"122","GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1,0,"Down",1
"123","GO_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS",1,0,"UP",1
"124","GO_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS",1,0,"Down",1
"125","GO_MATURATION_OF_5_8S_RRNA",0.684299471272406,1.20909940548882,"UP",1
"126","GO_MATURATION_OF_5_8S_RRNA",0.228208041696478,0,"Down",0.940445368786747
"127","GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.431120009954933,2.41844603810298,"UP",1
"128","GO_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",1,0,"Down",1
"129","GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.595836554507493,0,"UP",1
"130","GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.595836554507493,0,"Down",1
"131","GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.632094538961977,1.61273315956055,"UP",1
"132","GO_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.365707824420779,0,"Down",1
"133","GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",0.343466914590231,1.93549636170368,"UP",1
"134","GO_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",0.61148604295643,0,"Down",1
"135","GO_MATURATION_OF_LSU_RRNA",1,0.805667422919995,"UP",1
"136","GO_MATURATION_OF_LSU_RRNA",0.61148604295643,0,"Down",1
"137","GO_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",0.528664589866638,1.61211977828126,"UP",1
"138","GO_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",1,0,"Down",1
